Date installed,Type,WP,X,Y,Altitude,BLE-ID/Geoprecision,comments,ID,Time,ele,replaced by,Access Code,Aspect,Slope,material,2022,2023,collected 2024
23.9.2021,BLE,44,71.371821,38.73397,4389,2005-0086,crack in rocck,44,2021/09/23 5:45:46,4388.521484,,,90,40,rock,,,
23.9.2021,BLE,48,71.37149,38.733919,4404,2005-0087,"directly 10 m below wp47, no response in September 2022 so replavced. Data successfully retrieved in office",48,2021/09/23 6:36:18,4404.081543,2005-0074,,265,50,rock,,,
23.9.2021,BLE,47,71.371571,38.733873,4412,2005-0082,sediment on ridge,47,2021/09/23 6:24:06,4411.89209,,,flat,flat,sediment,,,x
23.9.2021,BLE,49,71.354001,38.746032,3942,2005-0077,,49,2021/09/23 13:04:34,3941.735596,,,,,,,,x
23.9.2021,BLE,50,71.353654,38.745178,3938,2005-0071,,50,2021/09/23 13:15:02,3938.456787,,,,,,,,x
23.9.2021,campbell,51,71.35392,38.74287,3909,-,AWS,51,AWS,3909,,,,,sediment,,,
24.9.2021,BLE,54,71.393875,38.73751,4616,2005-0085,,54,2021/09/24 6:05:01,4616.449219,,,,,,,,
24.9.2021,BLE,55,71.360396,38.742309,4002,2005-0080,,55,2021/09/24 8:30:37,4002.293945,,,,,,,,
24.9.2021,BLE,58,71.352994,38.74031,3951,2005-0076,,58,2021/09/24 10:31:54,3950.777832,,,,,icecored morraine,,,lost under large boulder 
24.9.2021,BLE,59,71.341133,38.748462,3591,2005-0070,,59,2021/09/24 12:42:46,3590.591309,,,,,,,,x
25.9.2021,BLE,60,71.33036,38.750384,3236,2005-0081,,60,2021/09/25 2:26:09,3236.059326,,,,,,,,x
25.9.2021,BLE,62,71.3075,38.737387,2801,2005-0091,,62,2021/09/25 4:13:53,2799.668213,,,,,,,,x
25.9.2021,BLE,63,71.295889,38.722846,2431,2005-0079,lost in 2023 to ploughed field,63,2021/09/25 5:17:10,2431.166016,,,,,,,,
7.9.2022,GEOP ROCK,100,71.371561,38.733798,4416,A542D3,,100,07.09.2022,4416.423828,,DE10,360,35,,,,
7.9.2022,BLE,48,71.37149,38.73392,4404,2005-0074,"directly 10 m below wp47, no response in September 2022 so replavced. Data successfully retrieved in office",,23.09.21,4404,,,265,50,rock,,,x
22.9.2023,BLE,114,71.29581,38.72287,2429,2005-0092,replaced 2005-0079 10m to NW inbetween copice of trees to be safe ,114,22.09.2023,2429,,,0,0,,,,x